date,status,site_name,number_participants
2017-07-28,Enrolled,Site 1,0
2017-07-29,Enrolled,Site 1,0
2017-07-30,Enrolled,Site 1,0
2017-07-31,Enrolled,Site 1,0
2017-08-01,Enrolled,Site 1,0
2017-08-02,Enrolled,Site 1,0
2017-08-03,Enrolled,Site 1,0
2017-08-04,Enrolled,Site 1,0
2017-08-05,Enrolled,Site 1,0
2017-08-06,Enrolled,Site 1,0
2017-08-07,Enrolled,Site 1,0
2017-08-08,Enrolled,Site 1,0
2017-08-09,Enrolled,Site 1,0
2017-08-10,Enrolled,Site 1,0
2017-08-11,Enrolled,Site 1,0
2017-08-12,Enrolled,Site 1,0
2017-08-13,Enrolled,Site 1,0
2017-08-14,Enrolled,Site 1,0
2017-08-15,Enrolled,Site 1,0
2017-08-16,Enrolled,Site 1,0
2017-08-17,Enrolled,Site 1,0
2017-08-18,Enrolled,Site 1,0
2017-08-19,Enrolled,Site 1,0
2017-08-20,Enrolled,Site 1,0
2017-08-21,Enrolled,Site 1,0
2017-08-22,Enrolled,Site 1,0
2017-08-23,Enrolled,Site 1,0
2017-08-24,Enrolled,Site 1,0
2017-08-25,Enrolled,Site 1,0
2017-08-26,Enrolled,Site 1,0
2017-08-27,Enrolled,Site 1,0
2017-08-28,Enrolled,Site 1,0
2017-08-29,Enrolled,Site 1,0
2017-08-30,Enrolled,Site 1,0
2017-08-31,Enrolled,Site 1,0
2017-09-01,Enrolled,Site 1,0
2017-09-02,Enrolled,Site 1,0
2017-09-03,Enrolled,Site 1,0
2017-09-04,Enrolled,Site 1,0
2017-09-05,Enrolled,Site 1,0
2017-09-06,Enrolled,Site 1,0
2017-09-07,Enrolled,Site 1,0
2017-09-08,Enrolled,Site 1,0
2017-09-09,Enrolled,Site 1,0
2017-09-10,Enrolled,Site 1,0
2017-09-11,Enrolled,Site 1,0
2017-09-12,Enrolled,Site 1,0
2017-09-13,Enrolled,Site 1,0
2017-09-14,Enrolled,Site 1,0
2017-09-15,Enrolled,Site 1,0
2017-09-16,Enrolled,Site 1,0
2017-09-17,Enrolled,Site 1,0
2017-09-18,Enrolled,Site 1,0
2017-09-19,Enrolled,Site 1,0
2017-09-20,Enrolled,Site 1,0
2017-09-21,Enrolled,Site 1,0
2017-09-22,Enrolled,Site 1,0
2017-09-23,Enrolled,Site 1,0
2017-09-24,Enrolled,Site 1,0
2017-09-25,Enrolled,Site 1,0
2017-09-26,Enrolled,Site 1,0
2017-09-27,Enrolled,Site 1,0
2017-09-28,Enrolled,Site 1,1
2017-09-29,Enrolled,Site 1,1
2017-09-30,Enrolled,Site 1,1
2017-10-01,Enrolled,Site 1,1
