site_name,query_status
Site 1,Resolved
Site 1,Resolved
Site 1,Resolved
Site 1,Resolved
Site 1,Resolved
Site 1,Resolved
Site 1,Resolved
Site 1,Resolved
Site 1,Resolved
Site 1,Resolved
Site 1,Resolved
Site 1,Resolved
Site 1,Resolved
Site 1,Resolved
Site 1,Resolved
Site 1,Resolved
Site 1,Resolved
Site 1,Resolved
Site 1,Resolved
Site 1,Resolved
Site 1,Resolved
Site 1,Resolved
Site 1,Resolved
Site 1,Resolved
Site 1,Resolved
Site 1,Resolved
Site 1,Resolved
Site 1,Resolved
Site 1,Resolved
Site 1,Resolved
Site 1,Resolved
Site 1,Resolved
Site 1,Resolved
Site 1,Resolved
Site 1,Resolved
Site 1,Resolved
Site 1,Resolved
Site 1,Resolved
Site 1,Resolved
Site 1,Resolved
Site 1,Resolved
Site 1,Resolved
Site 1,Resolved
Site 1,Resolved
Site 1,Outstanding <= 90 days
Site 1,Outstanding <= 90 days
Site 1,Outstanding <= 90 days
Site 1,Outstanding <= 90 days
Site 1,Outstanding <= 90 days
Site 1,Outstanding <= 90 days
Site 1,Outstanding <= 90 days
Site 1,Outstanding <= 90 days
Site 1,Outstanding <= 90 days
Site 1,Outstanding <= 90 days
Site 1,Outstanding <= 90 days
Site 1,Outstanding <= 90 days
Site 1,Outstanding <= 90 days
Site 1,Outstanding <= 90 days
Site 1,Outstanding <= 90 days
Site 1,Outstanding <= 90 days
Site 1,Outstanding <= 90 days
Site 1,Outstanding <= 90 days
Site 1,Outstanding <= 90 days
Site 1,Outstanding <= 90 days
Site 1,Outstanding <= 90 days
Site 1,Outstanding <= 90 days
Site 1,Outstanding <= 90 days
Site 1,Outstanding <= 90 days
Site 1,Outstanding <= 90 days
Site 1,Outstanding <= 90 days
Site 1,Outstanding <= 90 days
Site 1,Outstanding <= 90 days
Site 1,Outstanding <= 90 days
Site 1,Outstanding <= 90 days
Site 1,Outstanding <= 90 days
Site 1,Outstanding <= 90 days
Site 1,Outstanding <= 90 days
Site 1,Outstanding <= 90 days
Site 1,Outstanding <= 90 days
Site 1,Outstanding <= 90 days
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 2,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
