site_name,visit_name,visit_number,visit_status
Site 1,SCRN,0,In Window
Site 1,SCRN,0,In Window
Site 1,SCRN,0,In Window
Site 1,SCRN,0,In Window
Site 1,RAND,1,In Window
Site 1,RAND,1,In Window
Site 1,RAND,1,In Window
Site 1,RAND,1,Expected
Site 1,V2,2,In Window
Site 1,V2,2,Expected
Site 1,V2,2,Expected
Site 1,V3,3,Expected
Site 1,V3,3,In Window
Site 1,V3,3,Expected
Site 1,V4,4,In Window
Site 1,V4,4,In Window
Site 1,V4,4,In Window
Site 1,V5,5,In Window
Site 1,V5,5,In Window
Site 1,V5,5,In Window
Site 1,V6,6,In Window
Site 1,V6,6,In Window
Site 1,V6,6,In Window
Site 1,V7,7,In Window
Site 1,V7,7,In Window
Site 1,V7,7,In Window
Site 1,V8,8,In Window
Site 1,V8,8,In Window
Site 1,V8,8,Expected
Site 1,V9,9,Expected
Site 1,V9,9,Expected
Site 1,V9,9,Expected
Site 1,V10,10,Expected
Site 1,V10,10,Expected
Site 1,V10,10,Expected
Site 1,V11,11,Expected
Site 1,V11,11,Expected
Site 1,V11,11,Expected
Site 1,V12,12,Expected
Site 1,V12,12,Expected
Site 1,V12,12,Expected
Site 1,V13,13,Expected
Site 1,V13,13,Expected
Site 1,V13,13,Expected
Site 1,V14,14,Expected
Site 1,V14,14,Expected
Site 1,V14,14,Expected
Site 2,SCRN,0,Overdue
Site 2,SCRN,0,Overdue
Site 2,SCRN,0,Overdue
Site 2,RAND,1,Overdue
Site 2,RAND,1,Expected
Site 2,RAND,1,In Window
Site 2,V2,2,Expected
Site 2,V2,2,In Window
Site 2,V3,3,Expected
Site 2,V3,3,Expected
Site 2,V4,4,Expected
Site 2,V4,4,Expected
Site 2,V5,5,Expected
Site 2,V5,5,Expected
Site 2,V6,6,Expected
Site 2,V6,6,Expected
Site 2,V7,7,Expected
Site 2,V7,7,Expected
Site 2,V8,8,Expected
Site 2,V8,8,Expected
Site 2,V9,9,Expected
Site 2,V9,9,Expected
Site 2,V10,10,Expected
Site 2,V10,10,Expected
Site 2,V11,11,Expected
Site 2,V11,11,Expected
Site 2,V12,12,Expected
Site 2,V12,12,Expected
Site 2,V13,13,Expected
Site 2,V13,13,Expected
Site 2,V14,14,Expected
Site 2,V14,14,Expected
Site 3,SCRN,0,In Window
Site 3,SCRN,0,In Window
Site 3,SCRN,0,In Window
Site 3,SCRN,0,In Window
Site 3,SCRN,0,In Window
Site 3,SCRN,0,In Window
Site 3,SCRN,0,In Window
Site 3,SCRN,0,In Window
Site 3,SCRN,0,In Window
Site 3,SCRN,0,In Window
Site 3,SCRN,0,In Window
Site 3,SCRN,0,In Window
Site 3,RAND,1,In Window
Site 3,RAND,1,In Window
Site 3,RAND,1,Expected
Site 3,RAND,1,Expected
Site 3,RAND,1,In Window
Site 3,RAND,1,Expected
Site 3,RAND,1,In Window
Site 3,RAND,1,Overdue
Site 3,RAND,1,Expected
Site 3,RAND,1,In Window
Site 3,RAND,1,In Window
Site 3,RAND,1,In Window
Site 3,V2,2,In Window
Site 3,V2,2,In Window
Site 3,V2,2,In Window
Site 3,V2,2,In Window
Site 3,V2,2,Expected
Site 3,V2,2,Expected
Site 3,V2,2,In Window
Site 3,V3,3,In Window
Site 3,V3,3,Expected
Site 3,V3,3,Expected
Site 3,V3,3,Expected
Site 3,V3,3,In Window
Site 3,V3,3,In Window
Site 3,V3,3,Expected
Site 3,V4,4,Expected
Site 3,V4,4,Expected
Site 3,V4,4,Expected
Site 3,V4,4,Expected
Site 3,V4,4,Expected
Site 3,V4,4,Expected
Site 3,V4,4,Expected
Site 3,V5,5,Expected
Site 3,V5,5,Expected
Site 3,V5,5,Expected
Site 3,V5,5,Expected
Site 3,V5,5,Expected
Site 3,V5,5,Expected
Site 3,V5,5,Expected
Site 3,V6,6,Expected
Site 3,V6,6,Expected
Site 3,V6,6,Expected
Site 3,V6,6,Expected
Site 3,V6,6,Expected
Site 3,V6,6,Expected
Site 3,V6,6,Expected
Site 3,V7,7,Expected
Site 3,V7,7,Expected
Site 3,V7,7,Expected
Site 3,V7,7,Expected
Site 3,V7,7,Expected
Site 3,V7,7,Expected
Site 3,V7,7,Expected
Site 3,V8,8,Expected
Site 3,V8,8,Expected
Site 3,V8,8,Expected
Site 3,V8,8,Expected
Site 3,V8,8,Expected
Site 3,V8,8,Expected
Site 3,V8,8,Expected
Site 3,V9,9,Expected
Site 3,V9,9,Expected
Site 3,V9,9,Expected
Site 3,V9,9,Expected
Site 3,V9,9,Expected
Site 3,V9,9,Expected
Site 3,V9,9,Expected
Site 3,V10,10,Expected
Site 3,V10,10,Expected
Site 3,V10,10,Expected
Site 3,V10,10,Expected
Site 3,V10,10,Expected
Site 3,V10,10,Expected
Site 3,V10,10,Expected
Site 3,V11,11,Expected
Site 3,V11,11,Expected
Site 3,V11,11,Expected
Site 3,V11,11,Expected
Site 3,V11,11,Expected
Site 3,V11,11,Expected
Site 3,V11,11,Expected
Site 3,V12,12,Expected
Site 3,V12,12,Expected
Site 3,V12,12,Expected
Site 3,V12,12,Expected
Site 3,V12,12,Expected
Site 3,V12,12,Expected
Site 3,V12,12,Expected
Site 3,V13,13,Expected
Site 3,V13,13,Expected
Site 3,V13,13,Expected
Site 3,V13,13,Expected
Site 3,V13,13,Expected
Site 3,V13,13,Expected
Site 3,V13,13,Expected
Site 3,V14,14,Expected
Site 3,V14,14,Expected
Site 3,V14,14,Expected
Site 3,V14,14,Expected
Site 3,V14,14,Expected
Site 3,V14,14,Expected
Site 3,V14,14,Expected
Site 4,SCRN,0,In Window
Site 4,SCRN,0,In Window
Site 4,SCRN,0,In Window
Site 4,SCRN,0,In Window
Site 4,SCRN,0,In Window
Site 4,SCRN,0,In Window
Site 4,SCRN,0,In Window
Site 4,SCRN,0,In Window
Site 4,SCRN,0,In Window
Site 4,RAND,1,In Window
Site 4,RAND,1,In Window
Site 4,RAND,1,In Window
Site 4,RAND,1,Expected
Site 4,RAND,1,In Window
Site 4,RAND,1,Expected
Site 4,RAND,1,Expected
Site 4,RAND,1,In Window
Site 4,RAND,1,In Window
Site 4,V2,2,In Window
Site 4,V2,2,In Window
Site 4,V2,2,In Window
Site 4,V2,2,In Window
Site 4,V2,2,Expected
Site 4,V3,3,Expected
Site 4,V3,3,Expected
Site 4,V3,3,In Window
Site 4,V3,3,Expected
Site 4,V3,3,In Window
Site 4,V4,4,Expected
Site 4,V4,4,Expected
Site 4,V4,4,Expected
Site 4,V4,4,Expected
Site 4,V4,4,Expected
Site 4,V5,5,Expected
Site 4,V5,5,Expected
Site 4,V5,5,Expected
Site 4,V5,5,Expected
Site 4,V5,5,Expected
Site 4,V6,6,Expected
Site 4,V6,6,Expected
Site 4,V6,6,Expected
Site 4,V6,6,Expected
Site 4,V6,6,Expected
Site 4,V7,7,Expected
Site 4,V7,7,Expected
Site 4,V7,7,Expected
Site 4,V7,7,Expected
Site 4,V7,7,Expected
Site 4,V8,8,Expected
Site 4,V8,8,Expected
Site 4,V8,8,Expected
Site 4,V8,8,Expected
Site 4,V8,8,Expected
Site 4,V9,9,Expected
Site 4,V9,9,Expected
Site 4,V9,9,Expected
Site 4,V9,9,Expected
Site 4,V9,9,Expected
Site 4,V10,10,Expected
Site 4,V10,10,Expected
Site 4,V10,10,Expected
Site 4,V10,10,Expected
Site 4,V10,10,Expected
Site 4,V11,11,Expected
Site 4,V11,11,Expected
Site 4,V11,11,Expected
Site 4,V11,11,Expected
Site 4,V11,11,Expected
Site 4,V12,12,Expected
Site 4,V12,12,Expected
Site 4,V12,12,Expected
Site 4,V12,12,Expected
Site 4,V12,12,Expected
Site 4,V13,13,Expected
Site 4,V13,13,Expected
Site 4,V13,13,Expected
Site 4,V13,13,Expected
Site 4,V13,13,Expected
Site 4,V14,14,Expected
Site 4,V14,14,Expected
Site 4,V14,14,Expected
Site 4,V14,14,Expected
Site 4,V14,14,Expected
Site 4,SCRN,0,In Window
Site 4,SCRN,0,In Window
Site 4,SCRN,0,In Window
Site 4,SCRN,0,In Window
Site 4,SCRN,0,In Window
Site 4,SCRN,0,In Window
Site 4,SCRN,0,In Window
Site 4,SCRN,0,In Window
Site 4,SCRN,0,In Window
Site 4,SCRN,0,In Window
Site 4,SCRN,0,In Window
Site 4,SCRN,0,In Window
Site 4,SCRN,0,In Window
Site 4,SCRN,0,In Window
Site 4,RAND,1,In Window
Site 4,RAND,1,Expected
Site 4,RAND,1,In Window
Site 4,RAND,1,In Window
Site 4,RAND,1,In Window
Site 4,RAND,1,In Window
Site 4,RAND,1,In Window
Site 4,RAND,1,In Window
Site 4,RAND,1,In Window
Site 4,RAND,1,In Window
Site 4,RAND,1,In Window
Site 4,RAND,1,In Window
Site 4,RAND,1,Expected
Site 4,V2,2,Expected
Site 4,V2,2,Expected
Site 4,V2,2,Expected
Site 4,V2,2,In Window
Site 4,V2,2,In Window
Site 4,V2,2,In Window
Site 4,V2,2,In Window
Site 4,V2,2,In Window
Site 4,V2,2,Expected
Site 4,V2,2,In Window
Site 4,V2,2,In Window
Site 4,V3,3,Expected
Site 4,V3,3,Expected
Site 4,V3,3,Expected
Site 4,V3,3,In Window
Site 4,V3,3,Expected
Site 4,V3,3,In Window
Site 4,V3,3,Expected
Site 4,V3,3,In Window
Site 4,V3,3,Expected
Site 4,V3,3,In Window
Site 4,V3,3,In Window
Site 4,V4,4,Expected
Site 4,V4,4,Expected
Site 4,V4,4,Expected
Site 4,V4,4,Expected
Site 4,V4,4,Expected
Site 4,V4,4,Expected
Site 4,V4,4,Expected
Site 4,V4,4,In Window
Site 4,V4,4,Expected
Site 4,V4,4,Expected
Site 4,V4,4,In Window
Site 4,V5,5,Expected
Site 4,V5,5,Expected
Site 4,V5,5,Expected
Site 4,V5,5,Expected
Site 4,V5,5,Expected
Site 4,V5,5,Expected
Site 4,V5,5,Expected
Site 4,V5,5,Expected
Site 4,V5,5,Expected
Site 4,V5,5,Expected
Site 4,V5,5,Expected
Site 4,V6,6,Expected
Site 4,V6,6,Expected
Site 4,V6,6,Expected
Site 4,V6,6,Expected
Site 4,V6,6,Expected
Site 4,V6,6,Expected
Site 4,V6,6,Expected
Site 4,V6,6,Expected
Site 4,V6,6,Expected
Site 4,V6,6,Expected
Site 4,V6,6,Expected
Site 4,V7,7,Expected
Site 4,V7,7,Expected
Site 4,V7,7,Expected
Site 4,V7,7,Expected
Site 4,V7,7,Expected
Site 4,V7,7,Expected
Site 4,V7,7,Expected
Site 4,V7,7,Expected
Site 4,V7,7,Expected
Site 4,V7,7,Expected
Site 4,V7,7,Expected
Site 4,V8,8,Expected
Site 4,V8,8,Expected
Site 4,V8,8,Expected
Site 4,V8,8,Expected
Site 4,V8,8,Expected
Site 4,V8,8,Expected
Site 4,V8,8,Expected
Site 4,V8,8,Expected
Site 4,V8,8,Expected
Site 4,V8,8,Expected
Site 4,V8,8,Expected
Site 4,V9,9,Expected
Site 4,V9,9,Expected
Site 4,V9,9,Expected
Site 4,V9,9,Expected
Site 4,V9,9,Expected
Site 4,V9,9,Expected
Site 4,V9,9,Expected
Site 4,V9,9,Expected
Site 4,V9,9,Expected
